BaseName	CharacterOrientation	Country	DisplayCountry	DisplayLanguage	DisplayLanguageWithDialect	DisplayName	DisplayNameWithDialect	DisplayScript	DisplayScriptInContext	DisplayVariant	ISO3Country	ISO3Language	Language	LineOrientation	Name	Script	Variant
en_AG	left-to-right	AG	アンティグア・バーブーダ	英語	en_AG	英語 (アンティグア・バーブーダ)	英語 (アンティグア・バーブーダ)	-	-	-	ATG	eng	en	top-to-bottom	en_AG	-	-
en_AI	left-to-right	AI	アンギラ	英語	en_AI	英語 (アンギラ)	英語 (アンギラ)	-	-	-	AIA	eng	en	top-to-bottom	en_AI	-	-
en_AS	left-to-right	AS	米領サモア	英語	en_AS	英語 (米領サモア)	英語 (米領サモア)	-	-	-	ASM	eng	en	top-to-bottom	en_AS	-	-
en_AT	left-to-right	AT	オーストリア	英語	en_AT	英語 (オーストリア)	英語 (オーストリア)	-	-	-	AUT	eng	en	top-to-bottom	en_AT	-	-
en_AU	left-to-right	AU	オーストラリア	英語	en_AU	英語 (オーストラリア)	オーストラリア英語	-	-	-	AUS	eng	en	top-to-bottom	en_AU	-	-
en_BB	left-to-right	BB	バルバドス	英語	en_BB	英語 (バルバドス)	英語 (バルバドス)	-	-	-	BRB	eng	en	top-to-bottom	en_BB	-	-
en_BE	left-to-right	BE	ベルギー	英語	en_BE	英語 (ベルギー)	英語 (ベルギー)	-	-	-	BEL	eng	en	top-to-bottom	en_BE	-	-
en_BI	left-to-right	BI	ブルンジ	英語	en_BI	英語 (ブルンジ)	英語 (ブルンジ)	-	-	-	BDI	eng	en	top-to-bottom	en_BI	-	-
en_BM	left-to-right	BM	バミューダ	英語	en_BM	英語 (バミューダ)	英語 (バミューダ)	-	-	-	BMU	eng	en	top-to-bottom	en_BM	-	-
en_BS	left-to-right	BS	バハマ	英語	en_BS	英語 (バハマ)	英語 (バハマ)	-	-	-	BHS	eng	en	top-to-bottom	en_BS	-	-
en_BW	left-to-right	BW	ボツワナ	英語	en_BW	英語 (ボツワナ)	英語 (ボツワナ)	-	-	-	BWA	eng	en	top-to-bottom	en_BW	-	-
en_BZ	left-to-right	BZ	ベリーズ	英語	en_BZ	英語 (ベリーズ)	英語 (ベリーズ)	-	-	-	BLZ	eng	en	top-to-bottom	en_BZ	-	-
en_CA	left-to-right	CA	カナダ	英語	en_CA	英語 (カナダ)	カナダ英語	-	-	-	CAN	eng	en	top-to-bottom	en_CA	-	-
en_CC	left-to-right	CC	ココス(キーリング)諸島	英語	en_CC	英語 (ココス[キーリング]諸島)	英語 (ココス[キーリング]諸島)	-	-	-	CCK	eng	en	top-to-bottom	en_CC	-	-
